net,length_um
_3165_,100.435
clknet_leaf_5_i_clk,100.425
_3683_,100.395
_3084_,100.38
net175,100.04
execute.alu_flag_reg.o_d\[2\],99.99
net201,99.98
execute.sreg_irq_pc.o_d\[11\],99.935
_1610_,99.57
_1338_,99.54
net29,99.19
_1370_,98.91
_0835_,98.88
decode.oc_mem_access,98.825
_0737_,98.8
execute.rf.reg_outputs\[4\]\[13\],98.68
_2559_,98.605
execute.rf.reg_outputs\[6\]\[0\],98.36
net71,98.14
_1199_,97.79
execute.rf.reg_outputs\[4\]\[14\],97.71
_1354_,97.575
_1038_,97.36
execute.rf.reg_outputs\[4\]\[12\],97.225
clknet_leaf_56_i_clk,97.225
_0153_,96.965
_3045_,96.835
net150,96.61
_0701_,96.595
_3757_,96.335
clknet_leaf_24_i_clk,96.28
clknet_leaf_85_i_clk,96.09
_1695_,95.8
_3051_,95.6
_1990_,95.58
clknet_leaf_45_i_clk,95.415
execute.pc_high_out\[7\],95.315
net30,95.235
_0751_,95.225
_1302_,95.095
net113,95.075
_2576_,95.01
_2541_,94.93
_1036_,94.65
net149,94.54
_1368_,94.055
_3305_,93.93
_0505_,93.925
net164,93.365
_1847_,93.24
_0913_,93.08
clknet_leaf_87_i_clk,93.08
execute.pc_high_out\[4\],93.05
_1889_,92.66
_1416_,92.59
clknet_leaf_31_i_clk,92.31
_1619_,92.175
_0911_,92.14
_1122_,92.07
execute.o_submit,91.95
clknet_leaf_70_i_clk,91.56
_2420_,91.3
execute.rf.reg_outputs\[6\]\[14\],91.115
execute.alu_flag_reg.o_d\[3\],91.045
_0687_,90.955
_3606_,90.8
_1874_,90.765
execute.rf.reg_outputs\[3\]\[11\],90.73
_1128_,90.63
clknet_leaf_18_i_clk,90.625
_1923_,90.385
net202,89.995
execute.pc_high_out\[5\],89.89
_0832_,89.875
execute.rf.reg_outputs\[6\]\[10\],89.63
execute.rf.reg_outputs\[2\]\[9\],89.505
_2695_,89.44
_2750_,89.355
clknet_leaf_57_i_clk,89.345
execute.rf.reg_outputs\[2\]\[5\],89.305
clknet_leaf_62_i_clk,89.215
_0712_,89.105
net155,89.055
_1599_,88.895
_0796_,88.86
decode.oc_alu_mode\[7\],88.69
_2598_,88.665
execute.alu_mul_div.comp,88.52
_2029_,88.5
_0508_,88.435
clknet_leaf_25_i_clk,88.245
_3718_,88.195
execute.rf.reg_outputs\[5\]\[1\],88.055
_0704_,87.965
clknet_leaf_29_i_clk,87.335
_1922_,87.265
_2925_,87.025
execute.rf.reg_outputs\[3\]\[1\],86.435
_0506_,86.135
clknet_leaf_84_i_clk,86.12
_2436_,85.96
_1707_,85.875
net204,85.63
net196,85.485
net147,85.435
decode.oc_l_reg_sel\[0\],85.32
_1527_,85.03
_0790_,84.96
_1565_,84.78
_3713_,84.775
_2417_,84.64
_0903_,84.595
execute.rf.reg_outputs\[1\]\[10\],84.425
clknet_leaf_66_i_clk,84.415
execute.rf.reg_outputs\[1\]\[9\],84.41
execute.rf.reg_outputs\[7\]\[4\],84.23
_0843_,84.215
_0901_,84.085
_1534_,83.915
execute.alu_mul_div.div_cur\[0\],83.8
execute.rf.reg_outputs\[2\]\[13\],83.7
_1486_,83.665
execute.pc_high_out\[6\],83.65
_3576_,83.59
net199,83.5
execute.sreg_irq_pc.o_d\[12\],83.375
execute.o_data\[8\],83.315
decode.oc_sys,83.215
net105,82.66
_0709_,82.185
execute.o_data\[5\],82.055
clknet_leaf_90_i_clk,81.96
_2540_,81.81
clknet_leaf_88_i_clk,81.685
fetch.prev_request_pc\[0\],81.595
_0728_,81.555
execute.alu_mul_div.cbit\[0\],81.475
_3128_,81.39
_2962_,81.35
_0507_,81.295
_0777_,81.21
_0862_,81.13
_1478_,81.095
fetch.prev_request_pc\[1\],80.965
execute.rf.reg_outputs\[1\]\[13\],80.79
_1352_,80.775
_3108_,80.755
_3043_,80.71
net40,80.425
execute.rf.reg_outputs\[6\]\[15\],80.325
decode.oc_sreg_load,80.105
fetch.prev_request_pc\[11\],79.885
_3075_,79.855
_0871_,79.815
net70,79.655
clknet_leaf_15_i_clk,79.39
execute.rf.reg_outputs\[1\]\[8\],79.345
clknet_leaf_42_i_clk,78.975
execute.o_data\[11\],78.935
clknet_leaf_86_i_clk,78.875
_3645_,78.57
clknet_leaf_33_i_clk,78.435
_1942_,78.375
_2298_,78.215
_0797_,78.185
execute.rf.reg_outputs\[2\]\[3\],77.81
net203,77.68
execute.rf.reg_outputs\[7\]\[3\],77.505
_2840_,77.48
_0814_,77.365
_1775_,77.295
execute.rf.reg_outputs\[1\]\[15\],76.8
clknet_leaf_12_i_clk,76.76
execute.rf.reg_outputs\[1\]\[1\],76.73
_2838_,76.32
execute.o_data\[2\],76.09
net73,76.06
fetch.prev_request_pc\[8\],75.795
_2257_,75.475
_3663_,75.32
_1789_,75.29
clknet_leaf_0_i_clk,75.19
_1029_,75.175
fetch.pc_reset_override,75.06
_1864_,75.035
decode.i_jmp_pred_pass,74.78
_1413_,74.61
_2973_,74.575
_2872_,74.44
_1386_,74.39
_1687_,74.345
_0905_,74.295
_2945_,74.28
_1638_,74.255
execute.rf.reg_outputs\[1\]\[14\],74.19
_3245_,73.435
_1866_,73.16
_0619_,73.03
_0141_,72.925
execute.pc_high_buff_out\[4\],72.655
_2011_,72.535
_1525_,72.415
net39,72.23
_3660_,72.16
_0799_,71.795
net161,71.715
_0695_,71.655
clknet_leaf_49_i_clk,71.56
net152,71.48
_1892_,71.42
_0735_,71.295
clknet_leaf_7_i_clk,71.135
_3604_,70.895
net205,70.615
_1590_,70.515
execute.o_mem_width,70.48
_3144_,70.455
clknet_leaf_76_i_clk,70.435
_2080_,70.32
execute.sreg_irq_pc.o_d\[13\],70.32
net154,70.235
execute.pc_high_out\[3\],70.19
net151,70.18
net153,70.115
_1418_,70.075
_2455_,70.055
_1459_,70.02
clknet_leaf_14_i_clk,69.75
_3607_,69.475
_1132_,69.435
_2310_,69.42
clknet_leaf_53_i_clk,69.285
_2578_,69.19
execute.o_mem_addr_high\[0\],68.98
net156,68.59
clknet_leaf_23_i_clk,68.425
decode.oc_sreg_irt,68.325
clknet_leaf_65_i_clk,68.245
net115,68.24
net97,68.055
_1930_,68.04
_3613_,68.015
clknet_leaf_8_i_clk,68
clknet_leaf_36_i_clk,67.96
clknet_leaf_75_i_clk,67.865
clknet_leaf_50_i_clk,67.855
_1366_,67.75
_2851_,67.73
_0980_,67.675
clknet_leaf_27_i_clk,67.6
_1011_,67.595
execute.sreg_irq_pc.o_d\[14\],67.555
_2572_,67.53
clknet_leaf_20_i_clk,67.34
_2112_,67.335
_3761_,67.275
_3636_,67.24
_2422_,67.08
_3743_,67.02
net61,66.795
_2744_,66.735
_2487_,66.68
execute.o_data\[15\],66.52
_3545_,66.46
clknet_leaf_54_i_clk,66.385
clknet_leaf_34_i_clk,66.26
clknet_leaf_55_i_clk,66.15
_3210_,65.94
_2020_,65.925
net215,65.87
net69,65.815
clknet_leaf_46_i_clk,65.685
execute.pc_high_buff_out\[7\],65.64
execute.o_data\[0\],65.535
_1826_,65.53
_3153_,65.52
_1652_,65.515
_3203_,65.51
_1642_,65.465
decode.oc_alu_mode\[13\],65.43
fetch.prev_request_pc\[12\],65.43
_1346_,65.41
_3704_,65.275
_3656_,64.965
execute.rf.reg_outputs\[1\]\[12\],64.85
net63,64.515
_1854_,64.255
_1519_,64.09
_2798_,64.015
_2839_,63.925
execute.pc_high_buff_out\[2\],63.92
